ID_Tienda,ID_Producto,ID_Cliente,Fecha Orden,Unidades,Precio Unitario,Costo Unitario,Nombre Producto,Fabricante,Marca,Costo Unitario,Precio Lista,Subcategoria,Categoria,ID_Tienda,Tipo Tienda,Nombre Tienda,Estatus,Codigo ZIP,Codigo ZIP Extension,Telefono Tienda,Continente,Ciudad,Empleados,Fecha Ultima Remodelacion,Pais,ID_Cliente,Codigo_Cliente,Nombre,Estado Marital,Genero,Ingreso Anual,Numero de Hijos,Hijos en Casa,Educacion,Ocupacion,Continente,Ciudad,Estado,Tipo Cliente,Pais
307,1297,6,2018-07-07,3,25,11.5,Contoso USB Cable M250 White,"Contoso, Ltd",Contoso,11.5,30,Cameras & Camcorders Accessories,Cameras and camcorders,307,Online,Contoso Asia Online Store,On,10093,10093,55-555-0117,Asia,Beijing,8,44000,China,6,11005,"Ruiz, Julio",S,M,70000,0,0,Bachelors,Professional,Asia,East Brisbane,Queensland,Person,Australia
307,904,6,2018-07-07,2,75.99,38.74,SV 40GB USB2.0 Portable Hard Disk E400 Silver,Southridge Video,Southridge Video,38.74,91.19,Computers Accessories,Computers,307,Online,Contoso Asia Online Store,On,10093,10093,55-555-0117,Asia,Beijing,8,44000,China,6,11005,"Ruiz, Julio",S,M,70000,0,0,Bachelors,Professional,Asia,East Brisbane,Queensland,Person,Australia
307,1870,6,2018-12-27,2,1599,815.22,Contoso Washer & Dryer 21in E210 White,"Contoso, Ltd",Contoso,815.22,1918.8,Washers & Dryers,Home Appliances,307,Online,Contoso Asia Online Store,On,10093,10093,55-555-0117,Asia,Beijing,8,44000,China,6,11005,"Ruiz, Julio",S,M,70000,0,0,Bachelors,Professional,Asia,East Brisbane,Queensland,Person,Australia
307,1870,7,2018-12-27,1,1599,815.22,Contoso Washer & Dryer 21in E210 White,"Contoso, Ltd",Contoso,815.22,1918.8,Washers & Dryers,Home Appliances,307,Online,Contoso Asia Online Store,On,10093,10093,55-555-0117,Asia,Beijing,8,44000,China,7,11006,"Alvarez, Janet",S,F,70000,0,0,Bachelors,Professional,Asia,Matraville,New South Wales,Person,Australia
307,1870,8,2018-12-27,4,1599,815.22,Contoso Washer & Dryer 21in E210 White,"Contoso, Ltd",Contoso,815.22,1918.8,Washers & Dryers,Home Appliances,307,Online,Contoso Asia Online Store,On,10093,10093,55-555-0117,Asia,Beijing,8,44000,China,8,11007,"Mehta, Marco",M,M,60000,3,3,Bachelors,Professional,Asia,Warrnambool,Victoria,Person,Australia
307,1870,9,2018-12-27,3,1599,815.22,Contoso Washer & Dryer 21in E210 White,"Contoso, Ltd",Contoso,815.22,1918.8,Washers & Dryers,Home Appliances,307,Online,Contoso Asia Online Store,On,10093,10093,55-555-0117,Asia,Beijing,8,44000,China,9,11008,"Verhoff, Rob",S,F,60000,4,4,Bachelors,Professional,Asia,Bendigo,Victoria,Person,Australia
307,1753,10,2019-10-30,1,89,40.93,MGS Racing Madness 2 M370,Tailspin Toys,Tailspin Toys,40.93,106.8,Download Games,Games and Toys,307,Online,Contoso Asia Online Store,On,10093,10093,55-555-0117,Asia,Beijing,8,44000,China,10,11009,"Carlson, Shannon",S,M,70000,0,0,Bachelors,Professional,Asia,Hervey Bay,Queensland,Person,Australia
307,1870,10,2018-12-27,1,1599,815.22,Contoso Washer & Dryer 21in E210 White,"Contoso, Ltd",Contoso,815.22,1918.8,Washers & Dryers,Home Appliances,307,Online,Contoso Asia Online Store,On,10093,10093,55-555-0117,Asia,Beijing,8,44000,China,10,11009,"Carlson, Shannon",S,M,70000,0,0,Bachelors,Professional,Asia,Hervey Bay,Queensland,Person,Australia
307,864,10,2018-12-27,2,50.99,23.45,Contoso Optical USB Mouse M45 White,"Contoso, Ltd",Contoso,23.45,61.19,Computers Accessories,Computers,307,Online,Contoso Asia Online Store,On,10093,10093,55-555-0117,Asia,Beijing,8,44000,China,10,11009,"Carlson, Shannon",S,M,70000,0,0,Bachelors,Professional,Asia,Hervey Bay,Queensland,Person,Australia
307,896,10,2018-12-27,5,41.73,21.28,SV Keyboard E90 White,Southridge Video,Southridge Video,21.28,50.08,Computers Accessories,Computers,307,Online,Contoso Asia Online Store,On,10093,10093,55-555-0117,Asia,Beijing,8,44000,China,10,11009,"Carlson, Shannon",S,M,70000,0,0,Bachelors,Professional,Asia,Hervey Bay,Queensland,Person,Australia
